method,A_per_replicate_scale,B_seedmean_then_scale,C_dataset_level_scale,rank_A,rank_B,rank_C,higher_is_better,kbet_included
solar_orthogonal,0.6399771613200659,0.6462658623796796,0.6679500055163631,2.0,2.0,2.0,True,True
unintegrated_pca_matched,0.2727454714166313,0.26921101577692924,0.24958197668577356,6.0,6.0,6.0,True,True
frozen_reference_scvi,0.4937273893351658,0.484894818596743,0.463367483321858,5.0,5.0,5.0,True,True
frozen_reference_scanvi,0.6772757509370292,0.6811714632666208,0.6752627969232465,1.0,1.0,1.0,True,True
sclsc_refonly,0.5688478519067536,0.5713959976581536,0.5895504502832393,3.0,3.0,3.0,True,True
symphony_matched_pca40,0.5295732036128805,0.5318532535870193,0.5215880543191329,4.0,4.0,4.0,True,True
