run,job_index,job_id,dataset_id,method,track,seed,preprocessing_profile,output_type,scib_commit,metric__ARI_cluster/label,status__ARI_cluster/label,metric__ASW_label,status__ASW_label,metric__ASW_label/batch,status__ASW_label/batch,metric__NMI_cluster/label,status__NMI_cluster/label,metric__PCR_batch,status__PCR_batch,metric__cLISI,status__cLISI,metric__cell_cycle_conservation,status__cell_cycle_conservation,metric__graph_conn,status__graph_conn,metric__hvg_overlap,status__hvg_overlap,metric__iLISI,status__iLISI,metric__isolated_label_F1,status__isolated_label_F1,metric__isolated_label_silhouette,status__isolated_label_silhouette,metric__kBET,status__kBET,metric__trajectory,status__trajectory,split_seed,model_seed,anchor_seed,split_id,heldout_batch
primary_128d,10,core__immune_cell_human__hvg2000_pca40__solar_orthogonal_uniq__random_seed_40__s40__a0__l1p00,immune_cell_human,solar_orthogonal_uniq,core,40,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.34303985881124055,computed,0.8124856352806091,computed,0.8732029384565527,computed,0.7311778589583307,computed,0.7010179953068514,computed,0.9999999999999996,computed,0.6332836171490797,computed,0.9918148288920634,computed,,not_applicable,1.0252721334274173,computed,0.8923466008716276,computed,0.49309893837198615,computed,0.025557321720739656,computed,0.853347093206308,computed,40.0,40.0,0.0,random_seed_40,
primary_128d,11,core__immune_cell_human__hvg2000_pca40__solar_orthogonal_uniq__random_seed_41__s41__a0__l1p00,immune_cell_human,solar_orthogonal_uniq,core,41,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.3424099361214735,computed,0.8239738047122955,computed,0.8784315564172893,computed,0.7377494313459033,computed,0.719671647764369,computed,0.9999999999999998,computed,0.6506948969009737,computed,0.990135353984849,computed,,not_applicable,1.0393663651634784,computed,0.901439238133777,computed,0.493098936509341,computed,0.021855974663011812,computed,0.8464592611366603,computed,41.0,41.0,0.0,random_seed_41,
primary_128d,12,core__immune_cell_human__hvg2000_pca40__solar_orthogonal_uniq__random_seed_42__s42__a0__l1p00,immune_cell_human,solar_orthogonal_uniq,core,42,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.34566130463485334,computed,0.8238659501075745,computed,0.873582783006761,computed,0.7394874182596839,computed,0.7075413634789717,computed,0.9999999999999998,computed,0.6477586879667498,computed,0.9907741941214846,computed,,not_applicable,1.0250926340097686,computed,0.9065439409661158,computed,0.4930989402346313,computed,0.023331284600187296,computed,0.8521221638660428,computed,42.0,42.0,0.0,random_seed_42,
primary_128d,13,core__immune_cell_human__hvg2000_pca40__solar_orthogonal_uniq__random_seed_43__s43__a0__l1p00,immune_cell_human,solar_orthogonal_uniq,core,43,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.3308665194056851,computed,0.8247157037258148,computed,0.8765403526642395,computed,0.7341603123343579,computed,0.7170838165027121,computed,0.9999999999999998,computed,0.6396005234309933,computed,0.9918206706381303,computed,,not_applicable,1.0160525105631484,computed,0.9006309950515606,computed,0.4930989374406636,computed,0.01776423835274077,computed,0.85133899877023,computed,43.0,43.0,0.0,random_seed_43,
primary_128d,14,core__immune_cell_human__hvg2000_pca40__solar_orthogonal_uniq__random_seed_44__s44__a0__l1p00,immune_cell_human,solar_orthogonal_uniq,core,44,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.36475425411052975,computed,0.8206893801689148,computed,0.8710231535720916,computed,0.7405799409981202,computed,0.7086410340013946,computed,0.9999999999999998,computed,0.6557165988203387,computed,0.9916230840754475,computed,,not_applicable,1.0342445016823278,computed,0.8990494479367241,computed,0.4930989355780184,computed,0.024806071580643074,computed,0.8467144104504565,computed,44.0,44.0,0.0,random_seed_44,
primary_128d,15,core__lung_atlas__hvg2000_pca40__solar_none__random_seed_40__s40__a0__l1p00,lung_atlas,solar_none,core,40,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.48761074577907804,computed,0.8321645259857178,computed,0.8437264128126836,computed,0.8003955714944874,computed,0.5977133147253392,computed,0.9999999999999998,computed,0.7189910465435301,computed,0.7563779154311723,computed,,not_applicable,0.7959067938447768,computed,0.9380116959064329,computed,0.513547083362937,computed,0.009461367797326203,computed,,not_applicable,40.0,40.0,0.0,random_seed_40,
primary_128d,16,core__lung_atlas__hvg2000_pca40__solar_none__random_seed_41__s41__a0__l1p00,lung_atlas,solar_none,core,41,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.4783313819671357,computed,0.8290476202964783,computed,0.8475818436087084,computed,0.7966480895173164,computed,0.6132501281889892,computed,0.9999999999999996,computed,0.7454208139134231,computed,0.8129037689429863,computed,,not_applicable,0.8211008540417561,computed,0.9298043728423475,computed,0.5135470787063241,computed,0.009146017600298206,computed,,not_applicable,41.0,41.0,0.0,random_seed_41,
primary_128d,17,core__lung_atlas__hvg2000_pca40__solar_none__random_seed_42__s42__a0__l1p00,lung_atlas,solar_none,core,42,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.4861436124337638,computed,0.82512566447258,computed,0.8429983857440306,computed,0.7991390915205203,computed,0.6219408161392327,computed,0.9999999999999996,computed,0.7581003367274786,computed,0.7549521835293027,computed,,not_applicable,0.815303072529038,computed,0.9241223103057757,computed,0.5135470852255821,computed,0.00749607464817692,computed,,not_applicable,42.0,42.0,0.0,random_seed_42,
primary_128d,18,core__lung_atlas__hvg2000_pca40__solar_none__random_seed_43__s43__a0__l1p00,lung_atlas,solar_none,core,43,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.5048726233495471,computed,0.8405100107192993,computed,0.8435514025638199,computed,0.8097837560574794,computed,0.58680562245217,computed,0.9999999999999998,computed,0.7277366297203364,computed,0.8141615441035782,computed,,not_applicable,0.8637520453372178,computed,0.9391504018369691,computed,0.5135470824316144,computed,0.013118017819710115,computed,,not_applicable,43.0,43.0,0.0,random_seed_43,
primary_128d,19,core__lung_atlas__hvg2000_pca40__solar_none__random_seed_44__s44__a0__l1p00,lung_atlas,solar_none,core,44,hvg2000_pca40,embed,e2a37e0ed63dc34b60aa535cc656400552af757a,0.5183091817332027,computed,0.8354714214801788,computed,0.8468615472811528,computed,0.8133564333508223,computed,0.6182698884316885,computed,0.9999999999999998,computed,0.7426664153186812,computed,0.8722521861701702,computed,,not_applicable,0.850012667979338,computed,0.9390103567318757,computed,0.5135470815002918,computed,0.014472079169897456,computed,,not_applicable,44.0,44.0,0.0,random_seed_44,
