dataset_id,heldout_batch,method,model_seed,class,precision,recall,f1,support,coverage,readout
immune_cell_human,10X,sclsc_refonly,43,CD16+ Monocytes,0.8791773778920309,0.9395604395604396,0.9083665338645418,364,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,CD20+ B cells,0.9954188481675392,0.9838292367399741,0.9895901106050748,1546,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,CD4+ T cells,0.9742023082145281,0.9771876064010896,0.9756926738058813,2937,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,CD8+ T cells,0.8222222222222222,0.9514285714285714,0.8821192052980132,350,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,HSPCs,1.0,0.6785714285714286,0.8085106382978723,28,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,Megakaryocyte progenitors,0.65625,1.0,0.7924528301886793,21,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,Monocyte progenitors,0.0,0.0,0.0,0,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,Monocyte-derived dendritic cells,0.993103448275862,0.7912087912087912,0.8807339449541285,182,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,NK cells,0.9021084337349398,0.7923280423280423,0.8436619718309859,756,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,NKT cells,0.8294223826714802,0.8702651515151515,0.8493530499075785,1056,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,Plasma cells,1.0,0.6666666666666666,0.8,18,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,43,Plasmacytoid dendritic cells,1.0,0.9876543209876543,0.9937888198757764,81,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,44,CD14+ Monocytes,0.9797237731413458,0.9840613931523022,0.9818877926667648,3388,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,44,CD16+ Monocytes,0.8646616541353384,0.9478021978021978,0.9043250327653998,364,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,44,CD20+ B cells,0.9947984395318595,0.9896507115135834,0.9922178988326849,1546,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,44,CD4+ T cells,0.9530888668648827,0.9822948586993531,0.9674714956405097,2937,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,44,CD8+ T cells,0.8253968253968254,0.8914285714285715,0.8571428571428571,350,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,44,HSPCs,1.0,0.7857142857142857,0.88,28,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,44,Megakaryocyte progenitors,0.7241379310344828,1.0,0.84,21,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,44,Monocyte-derived dendritic cells,1.0,0.7197802197802198,0.8370607028753994,182,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,44,NK cells,0.9797979797979798,0.7698412698412699,0.8622222222222222,756,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,44,NKT cells,0.8251121076233184,0.8712121212121212,0.8475356978350991,1056,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,44,Plasma cells,1.0,0.5555555555555556,0.7142857142857143,18,,common_distance_weighted_15nn
immune_cell_human,10X,sclsc_refonly,44,Plasmacytoid dendritic cells,1.0,1.0,1.0,81,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,CD10+ B cells,0.9868421052631579,0.8241758241758241,0.8982035928143712,91,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,CD14+ Monocytes,0.8395061728395061,0.9714285714285714,0.9006622516556292,350,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,CD16+ Monocytes,0.9242424242424242,1.0,0.9606299212598425,61,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,CD20+ B cells,0.7962962962962963,1.0,0.8865979381443299,43,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,CD4+ T cells,0.8627049180327869,0.729636048526863,0.7906103286384977,577,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,CD8+ T cells,0.363265306122449,0.956989247311828,0.5266272189349113,93,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,Erythrocytes,0.9779005524861878,0.9516129032258065,0.9645776566757494,186,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,Erythroid progenitors,0.9333333333333333,0.75,0.8316831683168316,112,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,HSPCs,0.916256157635468,0.8193832599118943,0.8651162790697674,227,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,Megakaryocyte progenitors,0.7,0.7777777777777778,0.7368421052631579,72,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,Monocyte progenitors,0.8148148148148148,0.7213114754098361,0.7652173913043478,183,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,Monocyte-derived dendritic cells,0.9285714285714286,0.8764044943820225,0.9017341040462428,89,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,NK cells,0.43859649122807015,0.9615384615384616,0.6024096385542169,26,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,NKT cells,0.9834983498349835,0.7660668380462725,0.861271676300578,389,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,Plasma cells,0.9428571428571428,1.0,0.9705882352941176,33,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,40,Plasmacytoid dendritic cells,0.9473684210526315,1.0,0.972972972972973,54,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,CD10+ B cells,0.975,0.8571428571428571,0.9122807017543859,91,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,CD14+ Monocytes,0.8692307692307693,0.9685714285714285,0.9162162162162162,350,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,CD16+ Monocytes,0.9523809523809523,0.9836065573770492,0.967741935483871,61,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,CD20+ B cells,0.8269230769230769,1.0,0.9052631578947369,43,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,CD4+ T cells,0.8163265306122449,0.7625649913344887,0.7885304659498208,577,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,CD8+ T cells,0.3783783783783784,0.9032258064516129,0.5333333333333333,93,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,Erythrocytes,0.9944444444444445,0.9623655913978495,0.9781420765027322,186,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,Erythroid progenitors,0.95,0.6785714285714286,0.7916666666666666,112,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,HSPCs,0.923469387755102,0.7973568281938326,0.8557919621749409,227,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,Megakaryocyte progenitors,0.6274509803921569,0.8888888888888888,0.735632183908046,72,,common_distance_weighted_15nn
immune_cell_human,Oetjen_A,sclsc_refonly,41,Monocyte progenitors,0.813953488372093,0.7650273224043715,0.7887323943661971,183,,common_distance_weighted_15nn
