method,A_per_replicate_scale,B_seedmean_then_scale,C_dataset_level_scale,rank_A,rank_B,rank_C,higher_is_better,kbet_included
solar_orthogonal,0.6845321099385735,0.6913386423087524,0.7135179364616039,2.0,2.0,2.0,True,False
unintegrated_pca_matched,0.2826270296682075,0.2793292341167219,0.26044612445871684,6.0,6.0,6.0,True,False
frozen_reference_scvi,0.5540850889340327,0.5459254896499488,0.5257165512504232,4.0,4.0,4.0,True,False
frozen_reference_scanvi,0.7409582420698418,0.7456558960675627,0.7404995262019992,1.0,1.0,1.0,True,False
sclsc_refonly,0.6154837304030126,0.6188177176338088,0.6377050578177165,3.0,3.0,3.0,True,False
symphony_matched_pca40,0.5051259305496882,0.5076126385771129,0.4974249450835185,5.0,5.0,5.0,True,False
