dataset_id,track,heldout_batch,split_id,split_seed,model_seed,anchor_seed,method,seed,macro_f1,balanced_accuracy,n_reference,n_query,readout,coverage,assigned_only_macro_f1,assigned_only_accuracy,n_fitting,embedding_dimension,classes_json,confusion_matrix_json,artifact_path,artifact_sha256,total_wall_seconds,peak_rss_mb,reference_build_seconds,query_mapping_seconds,artifact_source_scope
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,40.0,,frozen_reference_scanvi,40.0,0.8948605958072373,0.91721456943044,15744,638,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,41.0,,frozen_reference_scanvi,41.0,0.9045431799552528,0.9303430146718557,15744,638,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,42.0,,frozen_reference_scanvi,42.0,0.8637494421336218,0.9390670683959096,15744,638,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,43.0,,frozen_reference_scanvi,43.0,0.873137529415212,0.8924579100907309,15744,638,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,44.0,,frozen_reference_scanvi,44.0,0.932427616373234,0.9254511223480768,15744,638,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop2,heldout_inDrop2,,40.0,,frozen_reference_scanvi,40.0,0.8607857565874302,0.8933475141153304,14658,1724,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop2,heldout_inDrop2,,41.0,,frozen_reference_scanvi,41.0,0.8941679059732488,0.9372287396879267,14658,1724,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop2,heldout_inDrop2,,42.0,,frozen_reference_scanvi,42.0,0.9223513546082142,0.9792781023517706,14658,1724,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop2,heldout_inDrop2,,43.0,,frozen_reference_scanvi,43.0,0.9171786810913962,0.9560105696711704,14658,1724,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop2,heldout_inDrop2,,44.0,,frozen_reference_scanvi,44.0,0.9184797612045964,0.9742871642687126,14658,1724,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop3,heldout_inDrop3,,40.0,,frozen_reference_scanvi,40.0,0.9633081175504244,0.9649125392265898,12777,3605,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop3,heldout_inDrop3,,41.0,,frozen_reference_scanvi,41.0,0.961498401702914,0.9569912725734816,12777,3605,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop3,heldout_inDrop3,,42.0,,frozen_reference_scanvi,42.0,0.9417413861323596,0.9633496096498912,12777,3605,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop3,heldout_inDrop3,,43.0,,frozen_reference_scanvi,43.0,0.9249098139485143,0.95452099275751,12777,3605,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
pancreas,heldout,inDrop3,heldout_inDrop3,,44.0,,frozen_reference_scanvi,44.0,0.8106792814466296,0.815991140898693,12777,3605,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,10X,heldout_10X,,40.0,,frozen_reference_scvi,40.0,0.7456295357667216,0.8716194035714538,22779,10727,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,10X,heldout_10X,,41.0,,frozen_reference_scvi,41.0,0.7229302861614798,0.8487524958549528,22779,10727,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,10X,heldout_10X,,42.0,,frozen_reference_scvi,42.0,0.793589992698167,0.8598180893092641,22779,10727,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,10X,heldout_10X,,43.0,,frozen_reference_scvi,43.0,0.769039877116405,0.8454443979833056,22779,10727,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,10X,heldout_10X,,44.0,,frozen_reference_scvi,44.0,0.7527204689068425,0.8845891015858625,22779,10727,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,40.0,,frozen_reference_scvi,40.0,0.8443566075180758,0.8814543883860768,30920,2586,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,41.0,,frozen_reference_scvi,41.0,0.846679981511072,0.8813254517075417,30920,2586,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,42.0,,frozen_reference_scvi,42.0,0.8460408775891809,0.8848789135763355,30920,2586,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,43.0,,frozen_reference_scvi,43.0,0.8533635277298927,0.8862425381970993,30920,2586,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,44.0,,frozen_reference_scvi,44.0,0.8512233879464349,0.8852670559962705,30920,2586,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Villani,heldout_Villani,,40.0,,frozen_reference_scvi,40.0,0.3561106635150718,0.7689513258787382,32484,1022,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
immune_cell_human,heldout,Villani,heldout_Villani,,41.0,,frozen_reference_scvi,41.0,0.3765610668533844,0.8039851073287501,32484,1022,common_distance_weighted_15nn,1.0,,,,,,,,,,,,,
