method,A_per_replicate_scale,B_seedmean_then_scale,C_dataset_level_scale,rank_A,rank_B,rank_C,higher_is_better,A_without_kbet,B_without_kbet,C_without_kbet,query_runs,model_seeds,mean_macro_f1,standard_deviation_across_batch_seed_rows_macro_f1,mean_balanced_accuracy,standard_deviation_across_batch_seed_rows_balanced_accuracy,mean_coverage,mean_assigned_only_macro_f1,mean_assigned_only_accuracy,standard_deviation_across_seed_means_macro_f1,standard_deviation_across_seed_means_balanced_accuracy
solar_orthogonal,0.6997977502620748,0.711076624537789,0.7360213532628016,2.0,2.0,1.0,True,0.7037336599592181,0.7134198464762628,0.7327874834347177,45,5,0.7887271021423378,0.10113984615937317,0.8377907653986643,0.07875143413531274,1.0,,,0.009534205493084487,0.00519516700396519
unintegrated_pca_matched,0.3039529606735864,0.29670217766923135,0.28675557990874195,5.0,5.0,5.0,True,0.2754543959651282,0.2710473666033901,0.25427986337095504,9,1,0.758995799258852,0.12718531680989717,0.8121499803092959,0.09674084880424663,1.0,,,,
frozen_reference_scvi,0.5529345449186165,0.5456988324644142,0.5310681437760589,4.0,4.0,4.0,True,0.5683188889752679,0.5604241020028486,0.5413996850338664,45,5,0.7105223000741228,0.17147552934418137,0.8546572981544261,0.0585822519148635,1.0,,,0.014380576443060542,0.013258227889045498
frozen_reference_scanvi,0.720355816725964,0.7262576973738527,0.717250608275874,1.0,1.0,2.0,True,0.762338387434751,0.7681455743854082,0.7595224157664301,45,5,0.7566606338626107,0.15328631600080622,0.8824574881975671,0.06270710111880166,1.0,,,0.017021474396145538,0.006315888310297529
sclsc_refonly,0.5826398421758984,0.5913903538917786,0.6114368634539527,3.0,3.0,3.0,True,0.6302716154485819,0.6329628629983753,0.6507198552029597,45,5,0.7807353661241209,0.1007226705059543,0.8525904973710811,0.0561290251658189,1.0,,,0.02048058941307868,0.007777373841696818
