dataset_id,track,heldout_batch,split_id,split_seed,model_seed,anchor_seed,method,seed,macro_f1,balanced_accuracy,n_reference,n_query
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,44.0,0.0,solar_none,44.0,0.8473800832932386,0.8728117677832471,30920,2586
immune_cell_human,heldout,Villani,heldout_Villani,,40.0,0.0,solar_none,40.0,0.5154336696920803,0.6154150485509793,32484,1022
immune_cell_human,heldout,Villani,heldout_Villani,,41.0,0.0,solar_none,41.0,0.5368238872082476,0.6326881519391858,32484,1022
immune_cell_human,heldout,Villani,heldout_Villani,,42.0,0.0,solar_none,42.0,0.5535863204910035,0.6413600881816734,32484,1022
immune_cell_human,heldout,Villani,heldout_Villani,,43.0,0.0,solar_none,43.0,0.4882698347817144,0.5960563101624594,32484,1022
immune_cell_human,heldout,Villani,heldout_Villani,,44.0,0.0,solar_none,44.0,0.5241219483254724,0.6203518854607784,32484,1022
lung_atlas,heldout,3,heldout_3,,40.0,0.0,solar_none,40.0,0.7373550627843156,0.8964949900785253,32010,462
lung_atlas,heldout,3,heldout_3,,41.0,0.0,solar_none,41.0,0.7426564477539411,0.8953282996261205,32010,462
lung_atlas,heldout,3,heldout_3,,42.0,0.0,solar_none,42.0,0.7335096424285473,0.8816063073326996,32010,462
lung_atlas,heldout,3,heldout_3,,43.0,0.0,solar_none,43.0,0.7929843085914137,0.8836156075562854,32010,462
lung_atlas,heldout,3,heldout_3,,44.0,0.0,solar_none,44.0,0.7386004163862799,0.8886564000970782,32010,462
lung_atlas,heldout,B1,heldout_B1,,40.0,0.0,solar_none,40.0,0.8038588059933667,0.8781706900635917,30332,2140
lung_atlas,heldout,B1,heldout_B1,,41.0,0.0,solar_none,41.0,0.8851444397563086,0.8943732585325452,30332,2140
lung_atlas,heldout,B1,heldout_B1,,42.0,0.0,solar_none,42.0,0.8111373655999472,0.8918121317326431,30332,2140
lung_atlas,heldout,B1,heldout_B1,,43.0,0.0,solar_none,43.0,0.7830923882298513,0.8464697191357431,30332,2140
lung_atlas,heldout,B1,heldout_B1,,44.0,0.0,solar_none,44.0,0.8089408317600869,0.8794468988589909,30332,2140
lung_atlas,heldout,4,heldout_4,,40.0,0.0,solar_none,40.0,0.7742818287661156,0.8644856062607068,28709,3763
lung_atlas,heldout,4,heldout_4,,41.0,0.0,solar_none,41.0,0.7745037665674839,0.8658161435813972,28709,3763
lung_atlas,heldout,4,heldout_4,,42.0,0.0,solar_none,42.0,0.6744623872576836,0.8395545948335248,28709,3763
lung_atlas,heldout,4,heldout_4,,43.0,0.0,solar_none,43.0,0.6649245993732495,0.8511752991028217,28709,3763
lung_atlas,heldout,4,heldout_4,,44.0,0.0,solar_none,44.0,0.7502297195140321,0.8535674808048351,28709,3763
simulation_1,heldout,Batch6,heldout_Batch6,,40.0,0.0,solar_none,40.0,1.0,1.0,11140,957
simulation_1,heldout,Batch6,heldout_Batch6,,41.0,0.0,solar_none,41.0,1.0,1.0,11140,957
simulation_1,heldout,Batch6,heldout_Batch6,,42.0,0.0,solar_none,42.0,1.0,1.0,11140,957
simulation_1,heldout,Batch6,heldout_Batch6,,43.0,0.0,solar_none,43.0,1.0,1.0,11140,957
simulation_1,heldout,Batch6,heldout_Batch6,,44.0,0.0,solar_none,44.0,1.0,1.0,11140,957
simulation_1,heldout,Batch3,heldout_Batch3,,40.0,0.0,solar_none,40.0,1.0,1.0,9977,2120
simulation_1,heldout,Batch3,heldout_Batch3,,41.0,0.0,solar_none,41.0,1.0,1.0,9977,2120
simulation_1,heldout,Batch3,heldout_Batch3,,42.0,0.0,solar_none,42.0,1.0,1.0,9977,2120
simulation_1,heldout,Batch3,heldout_Batch3,,43.0,0.0,solar_none,43.0,1.0,1.0,9977,2120
simulation_1,heldout,Batch3,heldout_Batch3,,44.0,0.0,solar_none,44.0,1.0,1.0,9977,2120
simulation_1,heldout,Batch1,heldout_Batch1,,40.0,0.0,solar_none,40.0,1.0,1.0,9189,2908
simulation_1,heldout,Batch1,heldout_Batch1,,41.0,0.0,solar_none,41.0,1.0,1.0,9189,2908
simulation_1,heldout,Batch1,heldout_Batch1,,42.0,0.0,solar_none,42.0,1.0,1.0,9189,2908
simulation_1,heldout,Batch1,heldout_Batch1,,43.0,0.0,solar_none,43.0,1.0,1.0,9189,2908
simulation_1,heldout,Batch1,heldout_Batch1,,44.0,0.0,solar_none,44.0,1.0,1.0,9189,2908
simulation_2,heldout,Batch3Sub4,heldout_Batch3Sub4,,40.0,0.0,solar_none,40.0,1.0,1.0,18833,485
simulation_2,heldout,Batch3Sub4,heldout_Batch3Sub4,,41.0,0.0,solar_none,41.0,1.0,1.0,18833,485
simulation_2,heldout,Batch3Sub4,heldout_Batch3Sub4,,42.0,0.0,solar_none,42.0,1.0,1.0,18833,485
simulation_2,heldout,Batch3Sub4,heldout_Batch3Sub4,,43.0,0.0,solar_none,43.0,1.0,1.0,18833,485
simulation_2,heldout,Batch3Sub4,heldout_Batch3Sub4,,44.0,0.0,solar_none,44.0,1.0,1.0,18833,485
simulation_2,heldout,Batch1Sub3,heldout_Batch1Sub3,,40.0,0.0,solar_none,40.0,1.0,1.0,18108,1210
simulation_2,heldout,Batch1Sub3,heldout_Batch1Sub3,,41.0,0.0,solar_none,41.0,1.0,1.0,18108,1210
simulation_2,heldout,Batch1Sub3,heldout_Batch1Sub3,,42.0,0.0,solar_none,42.0,1.0,1.0,18108,1210
simulation_2,heldout,Batch1Sub3,heldout_Batch1Sub3,,43.0,0.0,solar_none,43.0,1.0,1.0,18108,1210
simulation_2,heldout,Batch1Sub3,heldout_Batch1Sub3,,44.0,0.0,solar_none,44.0,1.0,1.0,18108,1210
simulation_2,heldout,Batch3Sub1,heldout_Batch3Sub1,,40.0,0.0,solar_none,40.0,1.0,1.0,17388,1930
simulation_2,heldout,Batch3Sub1,heldout_Batch3Sub1,,41.0,0.0,solar_none,41.0,1.0,1.0,17388,1930
simulation_2,heldout,Batch3Sub1,heldout_Batch3Sub1,,42.0,0.0,solar_none,42.0,1.0,1.0,17388,1930
simulation_2,heldout,Batch3Sub1,heldout_Batch3Sub1,,43.0,0.0,solar_none,43.0,1.0,1.0,17388,1930
simulation_2,heldout,Batch3Sub1,heldout_Batch3Sub1,,44.0,0.0,solar_none,44.0,1.0,1.0,17388,1930
pancreas,core,,random_seed_40,40.0,40.0,0.0,solar_orthogonal,40.0,0.8830539030564399,0.8829776750267108,13104,3278
pancreas,core,,random_seed_41,41.0,41.0,0.0,solar_orthogonal,41.0,0.8701598106512457,0.8798933913718832,13104,3278
pancreas,core,,random_seed_42,42.0,42.0,0.0,solar_orthogonal,42.0,0.878530596385315,0.8738090291059631,13104,3278
pancreas,core,,random_seed_43,43.0,43.0,0.0,solar_orthogonal,43.0,0.8636277678336681,0.864221453163999,13104,3278
pancreas,core,,random_seed_44,44.0,44.0,0.0,solar_orthogonal,44.0,0.8893943242727343,0.8888065716961455,13104,3278
immune_cell_human,core,,random_seed_40,40.0,40.0,0.0,solar_orthogonal,40.0,0.9390935297332937,0.9351348379876386,26809,6697
immune_cell_human,core,,random_seed_41,41.0,41.0,0.0,solar_orthogonal,41.0,0.9349525090773826,0.9302794169877029,26809,6697
immune_cell_human,core,,random_seed_42,42.0,42.0,0.0,solar_orthogonal,42.0,0.9421396483140048,0.9364530260819589,26809,6697
immune_cell_human,core,,random_seed_43,43.0,43.0,0.0,solar_orthogonal,43.0,0.9505020582323143,0.9471871873453896,26809,6697
immune_cell_human,core,,random_seed_44,44.0,44.0,0.0,solar_orthogonal,44.0,0.9329645627919987,0.9328509812200301,26809,6697
lung_atlas,core,,random_seed_40,40.0,40.0,0.0,solar_orthogonal,40.0,0.9540137850464234,0.9481971742786496,25975,6497
lung_atlas,core,,random_seed_41,41.0,41.0,0.0,solar_orthogonal,41.0,0.9566856592243269,0.9529398013619561,25975,6497
lung_atlas,core,,random_seed_42,42.0,42.0,0.0,solar_orthogonal,42.0,0.9560947698044555,0.9567271971897476,25975,6497
lung_atlas,core,,random_seed_43,43.0,43.0,0.0,solar_orthogonal,43.0,0.9525819280218403,0.9483201883876979,25975,6497
lung_atlas,core,,random_seed_44,44.0,44.0,0.0,solar_orthogonal,44.0,0.948605688855542,0.9437087843194769,25975,6497
simulation_1,core,,random_seed_40,40.0,40.0,0.0,solar_orthogonal,40.0,0.9980679958980139,0.9964285714285713,9677,2420
simulation_1,core,,random_seed_41,41.0,41.0,0.0,solar_orthogonal,41.0,1.0,1.0,9677,2420
simulation_1,core,,random_seed_42,42.0,42.0,0.0,solar_orthogonal,42.0,1.0,1.0,9677,2420
simulation_1,core,,random_seed_43,43.0,43.0,0.0,solar_orthogonal,43.0,1.0,1.0,9677,2420
simulation_1,core,,random_seed_44,44.0,44.0,0.0,solar_orthogonal,44.0,0.9980679958980139,0.9964285714285713,9677,2420
simulation_2,core,,random_seed_40,40.0,40.0,0.0,solar_orthogonal,40.0,1.0,1.0,15455,3863
simulation_2,core,,random_seed_41,41.0,41.0,0.0,solar_orthogonal,41.0,1.0,1.0,15455,3863
simulation_2,core,,random_seed_42,42.0,42.0,0.0,solar_orthogonal,42.0,1.0,1.0,15455,3863
simulation_2,core,,random_seed_43,43.0,43.0,0.0,solar_orthogonal,43.0,1.0,1.0,15455,3863
simulation_2,core,,random_seed_44,44.0,44.0,0.0,solar_orthogonal,44.0,1.0,1.0,15455,3863
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,40.0,0.0,solar_orthogonal,40.0,0.8704377292501972,0.8669854912097298,15744,638
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,41.0,0.0,solar_orthogonal,41.0,0.8913591695066161,0.8611260264067504,15744,638
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,42.0,0.0,solar_orthogonal,42.0,0.8910856824024763,0.8641619258861646,15744,638
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,43.0,0.0,solar_orthogonal,43.0,0.8894329481229124,0.8626427732042211,15744,638
pancreas,heldout,fluidigmc1,heldout_fluidigmc1,,44.0,0.0,solar_orthogonal,44.0,0.78593197107903,0.7718542335784723,15744,638
pancreas,heldout,inDrop2,heldout_inDrop2,,40.0,0.0,solar_orthogonal,40.0,0.8183567466337706,0.8463494560169568,14658,1724
pancreas,heldout,inDrop2,heldout_inDrop2,,41.0,0.0,solar_orthogonal,41.0,0.7830067656674561,0.8019064101731617,14658,1724
pancreas,heldout,inDrop2,heldout_inDrop2,,42.0,0.0,solar_orthogonal,42.0,0.8161941717516514,0.8265594873115443,14658,1724
pancreas,heldout,inDrop2,heldout_inDrop2,,43.0,0.0,solar_orthogonal,43.0,0.8425140516923602,0.882150608006166,14658,1724
pancreas,heldout,inDrop2,heldout_inDrop2,,44.0,0.0,solar_orthogonal,44.0,0.8018820914199846,0.8337327814401494,14658,1724
pancreas,heldout,inDrop3,heldout_inDrop3,,40.0,0.0,solar_orthogonal,40.0,0.8542634233181231,0.854480569980311,12777,3605
pancreas,heldout,inDrop3,heldout_inDrop3,,41.0,0.0,solar_orthogonal,41.0,0.8282613149047496,0.8535894616540368,12777,3605
pancreas,heldout,inDrop3,heldout_inDrop3,,42.0,0.0,solar_orthogonal,42.0,0.7805573969714141,0.7803114849587415,12777,3605
pancreas,heldout,inDrop3,heldout_inDrop3,,43.0,0.0,solar_orthogonal,43.0,0.7809482363409453,0.7827920590545078,12777,3605
pancreas,heldout,inDrop3,heldout_inDrop3,,44.0,0.0,solar_orthogonal,44.0,0.8412327072123064,0.8634801945650272,12777,3605
immune_cell_human,heldout,10X,heldout_10X,,40.0,0.0,solar_orthogonal,40.0,0.9070994420901676,0.894437529923457,22779,10727
immune_cell_human,heldout,10X,heldout_10X,,41.0,0.0,solar_orthogonal,41.0,0.9107928310473016,0.8941091769190767,22779,10727
immune_cell_human,heldout,10X,heldout_10X,,42.0,0.0,solar_orthogonal,42.0,0.8311202166696797,0.8955431760693561,22779,10727
immune_cell_human,heldout,10X,heldout_10X,,43.0,0.0,solar_orthogonal,43.0,0.9042600383356058,0.8928339107447854,22779,10727
immune_cell_human,heldout,10X,heldout_10X,,44.0,0.0,solar_orthogonal,44.0,0.901108530407639,0.8905903429903196,22779,10727
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,40.0,0.0,solar_orthogonal,40.0,0.85252976122502,0.8761896287396325,30920,2586
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,41.0,0.0,solar_orthogonal,41.0,0.8540778701094758,0.8742119499524417,30920,2586
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,42.0,0.0,solar_orthogonal,42.0,0.8486921657839562,0.8801828290804614,30920,2586
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,43.0,0.0,solar_orthogonal,43.0,0.8549082819848276,0.8797831422399257,30920,2586
immune_cell_human,heldout,Oetjen_A,heldout_Oetjen_A,,44.0,0.0,solar_orthogonal,44.0,0.8488261135050441,0.8707140939071527,30920,2586
immune_cell_human,heldout,Villani,heldout_Villani,,40.0,0.0,solar_orthogonal,40.0,0.5530444810723792,0.6395854169857846,32484,1022
immune_cell_human,heldout,Villani,heldout_Villani,,41.0,0.0,solar_orthogonal,41.0,0.5568338231058055,0.643700912151711,32484,1022
immune_cell_human,heldout,Villani,heldout_Villani,,42.0,0.0,solar_orthogonal,42.0,0.5710875311870925,0.6507723780518938,32484,1022
immune_cell_human,heldout,Villani,heldout_Villani,,43.0,0.0,solar_orthogonal,43.0,0.5258126689481388,0.6228566912650286,32484,1022
immune_cell_human,heldout,Villani,heldout_Villani,,44.0,0.0,solar_orthogonal,44.0,0.5362355667049103,0.6265850097530874,32484,1022
lung_atlas,heldout,3,heldout_3,,40.0,0.0,solar_orthogonal,40.0,0.7288426200613466,0.8839949900785253,32010,462
lung_atlas,heldout,3,heldout_3,,41.0,0.0,solar_orthogonal,41.0,0.741853032608821,0.8997577986984767,32010,462
lung_atlas,heldout,3,heldout_3,,42.0,0.0,solar_orthogonal,42.0,0.7399609558974046,0.8892986150250074,32010,462
lung_atlas,heldout,3,heldout_3,,43.0,0.0,solar_orthogonal,43.0,0.7433886653091464,0.8944845005680356,32010,462
lung_atlas,heldout,3,heldout_3,,44.0,0.0,solar_orthogonal,44.0,0.7369307762231396,0.8991155837705473,32010,462
