method,readout,query_runs,model_seeds,mean_macro_f1,standard_deviation_across_batch_seed_rows_macro_f1,mean_balanced_accuracy,standard_deviation_across_batch_seed_rows_balanced_accuracy,mean_coverage,mean_assigned_only_macro_f1,mean_assigned_only_accuracy,standard_deviation_across_seed_means_macro_f1,standard_deviation_across_seed_means_balanced_accuracy
frozen_reference_scanvi,common_distance_weighted_15nn,45,5,0.7566606338626107,0.15328631600080622,0.8824574881975671,0.06270710111880166,1.0,,,0.017021474396145538,0.006315888310297529
frozen_reference_scvi,common_distance_weighted_15nn,45,5,0.7105223000741228,0.17147552934418137,0.8546572981544261,0.0585822519148635,1.0,,,0.014380576443060542,0.013258227889045498
sclsc_refonly,common_distance_weighted_15nn,45,5,0.7807353661241209,0.1007226705059543,0.8525904973710811,0.0561290251658189,1.0,,,0.02048058941307868,0.007777373841696818
sclsc_refonly,official_sclsc_unweighted_10nn_training_subset,45,5,0.7697227258716285,0.10623472625317124,0.8518399826089903,0.054049209686953904,1.0,,,0.022346624011088667,0.010440490073827951
scmap_cell,official_scmap_cell,9,1,0.422954360257301,0.15998866281019966,0.44633828969589406,0.17877419578992623,0.560204860892319,0.7469139913741478,0.920158196593517,,
solar_orthogonal,common_distance_weighted_15nn,45,5,0.7887271021423378,0.10113984615937317,0.8377907653986643,0.07875143413531274,1.0,,,0.009534205493084487,0.00519516700396519
symphony_matched_pca40,common_distance_weighted_15nn,9,1,0.6097198242508984,0.17406297683948913,0.7844376372619998,0.05551163097902942,1.0,,,,
unintegrated_pca_matched,common_distance_weighted_15nn,9,1,0.758995799258852,0.12718531680989717,0.8121499803092959,0.09674084880424663,1.0,,,,
